Walt_Aikens,900497743935922176
JayTrain23,902210888828166144
ChaseAllen5,901208954478481408
elbravo_47,901131393656385536
AsiataFive4,902348810109759489
BranchNout90,902261223554768902
jakebrendel,900687417312776192
j_bushrod7475,902314039568674817
LeonteCarroo1,900972721596620800
Wchap72,834188713546612736
jaycutler6,894293534798467072
M_Darr,893134935753732097
99JesseDavis,839937300737871873
brandondoughty,898604909037142017
KDx32,900129138073382914
thomas_duarte18,893319781243379713
Theonly_Isame3,902010848947949569
dfales10,898570731084230657
Anthony_Fasano,854128404102352896
T_Fede,902189141240283136
A_K_F_3,896821823840628736
dgodch1,902339513732792320
_TheDreamIsHere,901669747053514752
MarQueisG,902127892074823680
matthaack21,900915813946986497
Charles_AO1,902195915854946305
aj_hendy,901181539232485376
Neville_Hewitt,901781297353371648
Iamxavienhoward,900952097759272961
m_hull4943,895448208951738369
JawuanJames70,901881148590215168
StormJohnson8,900921795053838336
reshadjones9,846886798034964480
God_Son80,901889826038931456
MMoneymalc9,901086579099389953
Tony_Lippett14,902279713821003776
cammalveaux,901791765639856132
MartinPraiseO,901905521439113218
mitchmathews10,902297973916303364
maualuga58,880808669868421121
BMaxx41,707225282139312129
tmcdonaldjr,876608618631528448
Kwon_daTRUTH,900729850478161920
TheeTorryMcTyer,900921714015703040
drewmorgan15,902278760476549120
DeVanteParker11,901918868641390592
SenoriseP,898001901568094208
bigj9797,901901188551102464
worm15110,901679998356135942
Mike__Pouncey,605699196453289984
JobystFleur,900115924484857856
i_BSmith4,899808079453270016
Moreece300,898662802767757313
bamasteen61,902353363706277888
KSTiLLS,902003238345601025
Filo_wiz9,902316064192819203
NdamukongSuh,900079030011142144
CTY_5,716356106717642753
BallOut_96,902338347045150721
Julius_Thomas,890725031982051331
Michael31Thomas,901940517243670537
lawrencetimmons,831864819645050880
KingTunsil78,725030188409565184
Alvern_1,902207188889952257
Kold91,870300490923474945
JuliusAWarmsley,901495215617454080
1on1wattsisland,902122544114917376
TooLoose26,828305613520269317
NickWilliams_98,902310264917434370
bigyoungin76,725369372026519552
55KOAMISI,819565846666346497
ryantannehill1,898249525508268033
